iter	RMSE
0	3.673430231
1	3.644510548
2	3.577270106
3	3.509992227
4	3.459763859
5	3.400232196
6	3.349045787
7	3.309709611
8	3.269664002
9	3.224107027
10	3.146540801
11	3.093461744
12	3.060933419
13	3.028445435
14	2.998633856
15	2.959200312
16	2.930736433
17	2.903538106
18	2.867189566
19	2.827852469
20	2.812538846
21	2.789053917
22	2.772478156
23	2.735462261
24	2.707272641
25	2.682746743
26	2.650211383
27	2.623240717
28	2.590814475
29	2.554737073
30	2.500932862
31	2.45986896
32	2.40733452
33	2.377255691
34	2.352029169
35	2.307117585
36	2.2822585
37	2.226374349
38	2.183578273
39	2.123209569
40	2.083488998
41	2.020674502
42	2.001730543
43	1.953091377
44	1.919767416
45	1.893480761
46	1.853819025
47	1.829991399
48	1.807745303
49	1.773164752
50	1.743409653
51	1.71046363
52	1.694177634
53	1.664958157
54	1.634180921
55	1.602579202
56	1.578236532
57	1.558428191
58	1.543915098
59	1.517502927
60	1.496267572
61	1.469577911
62	1.454928047
63	1.437602644
64	1.414392714
65	1.403185943
66	1.383282876
67	1.356510669
68	1.323199073
69	1.306420039
70	1.288069673
71	1.277676789
72	1.268692648
73	1.244716657
74	1.213801509
75	1.202981789
76	1.190566745
77	1.168081829
78	1.139997067
79	1.126765019
80	1.106091877
81	1.082816622
82	1.075197254
83	1.062499384
84	1.047972274
85	1.035041737
86	1.013082469
87	0.9822387547
88	0.9603179484
89	0.9517417363
90	0.9299368115
91	0.9195503324
92	0.9080565629
93	0.887293803
94	0.8627048849
95	0.8554271091
96	0.8367717755
97	0.8299508693
98	0.8229244997
99	0.8137334139
