iter	Passed	Remaining
0	289	28699
1	366	17947
2	442	14305
3	524	12576
4	605	11506
5	671	10513
6	742	9861
7	809	9310
8	872	8822
9	938	8448
10	1002	8114
11	1067	7830
12	1137	7613
13	1216	7470
14	1278	7246
15	1339	7031
16	1407	6869
17	1474	6717
18	1530	6524
19	1585	6343
20	1642	6177
21	1701	6031
22	1760	5893
23	1817	5755
24	1878	5635
25	1942	5527
26	2008	5429
27	2064	5308
28	2122	5196
29	2183	5094
30	2245	4998
31	2302	4892
32	2363	4798
33	2426	4710
34	2484	4614
35	2548	4530
36	2607	4439
37	2662	4343
38	2720	4254
39	2774	4161
40	2833	4077
41	2906	4013
42	2976	3946
43	3036	3865
44	3097	3785
45	3159	3708
46	3228	3640
47	3290	3564
48	3346	3483
49	3409	3409
50	3470	3334
51	3527	3256
52	3592	3186
53	3645	3105
54	3697	3025
55	3749	2946
56	3802	2868
57	3855	2791
58	3919	2723
59	3984	2656
60	4051	2590
61	4105	2516
62	4157	2441
63	4210	2368
64	4268	2298
65	4326	2228
66	4391	2163
67	4453	2095
68	4513	2027
69	4566	1956
70	4619	1887
71	4676	1818
72	4726	1748
73	4787	1682
74	4840	1613
75	4898	1547
76	4958	1481
77	5010	1413
78	5066	1346
79	5132	1283
80	5187	1216
81	5239	1150
82	5302	1085
83	5362	1021
84	5422	956
85	5477	891
86	5528	826
87	5586	761
88	5647	698
89	5710	634
90	5770	570
91	5834	507
92	5892	443
93	5949	379
94	6005	316
95	6063	252
96	6124	189
97	6183	126
98	6242	63
99	6301	0
